Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code
BT13 3AU,No,54.603052,-5.958492,144445,530301,NW444303,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,2010-08-01,"","",,,"","","Shankill 1","",,29,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23R+6J
BT13 3AW,No,54.605277,-5.959386,144401,530552,NW444305,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,1991-12-01,"","",,,"","","Shankill 1","",,33,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,8,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24R+46
BT13 3AX,Yes,54.60425,-5.959763,144370,530439,NW443304,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1984-12-01,,"","",37,22,"","","Shankill 1","",,32,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23R+P3
BT13 3AY,Yes,54.605057,-5.960217,144346,530531,NW443305,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",38,20,"","","Woodvale 1","",,34,,95GG51S1,,N99999999,"(pseudo) Northern Ireland",,N00001623,N06000002,8,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ24Q+2W
BT13 3AZ,Yes,54.604097,-5.960792,144303,530426,NW443304,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",1984-12-01,,"","",22,18,"","","Woodvale 1","",,32,,95GG51S1,,N99999999,"(pseudo) Northern Ireland",,N00001623,N06000002,8,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23Q+JM
BT13 3BA,Yes,54.602201,-5.958132,144463,530205,NW444302,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1988-03-01,,"","",43,22,"","","Shankill 1","",,28,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001432,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ22R+VP
BT13 3BB,Yes,54.603793,-5.959832,144363,530389,NW443303,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1986-04-01,,"","",45,24,"","","Shankill 1","",,31,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23R+G3
BT13 3BD,Yes,54.602804,-5.960856,144291,530282,NW442302,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1999-12-01,,"","",8,4,"","","Shankill 1","",,29,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23Q+4M
BT13 3BE,Yes,54.604888,-5.959746,144375,530510,NW443305,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast West",1990-02-01,,"","",14,8,"","","Shankill 1","",,33,,95GG40S1,,N99999999,"(pseudo) Northern Ireland",,N00001433,N06000004,28,1,0,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ23R+X4
BT13 3BF,No,54.609719,-5.967058,143934,531074,NW439310,"","Belfast","Woodvale",N09000003,N08000360,Northern Ireland,N99999999,"Belfast North",2000-06-01,2006-04-01,"","",,,"","","Woodvale 2","",,55,,95GG51S2,,N99999999,"(pseudo) Northern Ireland",,N00001629,N06000002,12,5,1,2019-11-23,"",,BT,BT13,"(pseudo) Northern Ireland","Northern Ireland Water",9C6PJ25M+V5
